"jtd","diff"
-0.16,NULL
-0.08,0.08
-0.11,-0.03
-0.17,-0.06
-0.28,-0.11
-0.33,-0.05
-0.31,0.02
-0.36,-0.05
-0.17,0.19
-0.1,0.07
-0.35,-0.25
-0.22,0.13
-0.27,-0.05
-0.31,-0.04
-0.3,0.01
-0.22,0.08
-0.11,0.11
-0.11,0.0
-0.27,-0.16
-0.17,0.1
-0.08,0.09
-0.15,-0.07
-0.28,-0.13
-0.37,-0.09
-0.47,-0.1
-0.26,0.21
-0.22,0.04
-0.38,-0.16
-0.43,-0.05
-0.48,-0.05
-0.43,0.05
-0.44,-0.01
-0.36,0.08
-0.34,0.02
-0.15,0.19
-0.14,0.01
-0.36,-0.22
-0.46,-0.1
-0.3,0.16
-0.28,0.02
-0.27,0.01
-0.19,0.08
-0.29,-0.1
-0.27,0.02
-0.27,0.0
-0.22,0.05
-0.11,0.11
-0.22,-0.11
-0.2,0.02
-0.36,-0.16
-0.16,0.2
-0.09,0.07
-0.16,-0.07
-0.29,-0.13
-0.13,0.16
-0.2,-0.07
-0.15,0.05
-0.03,0.12
0.0,0.03
-0.02,-0.02
0.13,0.15
0.19,0.06
0.07,-0.12
0.09,0.02
0.2,0.11
0.09,-0.11
-0.07,-0.16
-0.03,0.04
-0.11,-0.08
-0.11,0.0
-0.17,-0.06
-0.07,0.1
0.01,0.08
0.08,0.07
-0.13,-0.21
-0.14,-0.01
-0.19,-0.05
0.05,0.24
0.06,0.01
0.03,-0.03
-0.03,-0.06
0.06,0.09
0.03,-0.03
0.05,0.02
-0.2,-0.25
-0.11,0.09
-0.06,0.05
-0.02,0.04
-0.08,-0.06
0.05,0.13
0.03,-0.02
-0.08,-0.11
0.01,0.09
0.16,0.15
-0.07,-0.23
-0.01,0.06
-0.1,-0.09
0.18,0.28
0.07,-0.11
0.16,0.09
0.26,0.1
0.32,0.06
0.14,-0.18
0.31,0.17
0.16,-0.15
0.12,-0.04
0.18,0.06
0.32,0.14
0.39,0.07
0.27,-0.12
0.45,0.18
0.4,-0.05
0.22,-0.18
0.23,0.01
0.31,0.08
0.45,0.14
0.33,-0.12
0.46,0.13
0.61,0.15
0.38,-0.23
0.39,0.01
0.53,0.14
0.63,0.1
0.62,-0.01
0.53,-0.09
0.67,0.14
0.63,-0.04
0.66,0.03
0.54,-0.12
0.65,0.11
0.72,0.07
0.61,-0.11
0.65,0.04
0.67,0.02
0.74,0.07
0.9,0.16
1.01,0.11
0.92,-0.09
0.85,-0.07
0.97,0.12
1.02,0.05
0.85,-0.17
0.89,0.04
